"File","Line","Field","Key","LocalRussian"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","13","desc","agot_commission_special_artifact_decision_desc","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","14","selection_tooltip","agot_commission_special_artifact_decision_tooltip","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","30","text","agot_in_coronation","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","76","desc","agot_commission_special_artifact_crown_choice_loc","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","85","text","agot_commissioned_personal_crown_recently","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","96","desc","agot_commission_special_artifact_crown_spouse_choice_loc","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","109","text","agot_commissioned_spouse_crown_recently","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","121","desc","agot_commission_special_artifact_armor_choice_loc","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","127","text","agot_commissioned_armor_recently","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","139","desc","agot_commission_crown_westeros_choice_loc","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","150","desc","agot_commission_crown_westeros_variant_choice_loc","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","161","custom_tooltip","agot_commission_special_artifact_decision_effects_tooltip","False"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","212","desc","ntc_crown_storage_decision_desc","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","213","selection_tooltip","ntc_crown_storage_decision_tooltip","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","252","custom_tooltip","ntc_crown_storage_decision_effects_tooltip","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","269","desc","ntc_crown_debug_decision_desc","True"
"common\decisions\agot_decisions\00_ntc_artifact_decisions.txt","270","selection_tooltip","ntc_crown_debug_decision_tooltip","True"
"common\on_action\ntc_artifacts_startdate.txt","147","name","Crowns_westeros_enabled","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","11","name","aegonvi_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","12","description","aegonvi_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","28","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","56","name","rhaegar_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","57","description","rhaegar_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","73","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","101","name","viserys_son_of_aenys_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","102","description","viserys_son_of_aenys_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","118","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","146","name","viserys_son_of_aenys_02_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","147","description","viserys_son_of_aenys_02_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","163","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","191","name","aegonblackfyre_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","192","description","aegonblackfyre_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","211","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","239","name","viserysiii_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","240","description","viserysiii_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","258","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","286","name","jonsnowtargaryen_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","287","description","jonsnowtargaryen_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","303","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","331","name","maesteraemon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","332","description","maesteraemon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","348","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","372","name","aegontheuncrowned_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","373","description","aegontheuncrowned_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","389","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","412","name","baelon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","413","description","baelon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","429","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","453","name","valarr_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","454","description","valarr_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","470","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","494","name","aemonsonofjaehaerys_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","495","description","aemonsonofjaehaerys_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","511","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","535","name","aegonsonofjaehaerys_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","536","description","aegonsonofjaehaerys_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","552","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","576","name","vaegon_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","577","description","vaegon_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","593","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","617","name","aemond_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","618","description","aemond_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","634","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","658","name","daenerys_daughterofjaehaerys_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","659","description","daenerys_daughterofjaehaerys_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","675","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","699","name","baelorbreakspear_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","700","description","baelorbreakspear_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","716","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","740","name","shieraseastar_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","741","description","shieraseastar_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","757","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","781","name","joffrey_show_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","782","description","joffrey_show_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","818","name","showaerys_crown_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","819","description","showaerys_crown_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","835","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","859","name","showrhaenyra_crown_01_name","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","860","description","showrhaenyra_crown_01_description","True"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","876","name","artifact_succession_title","False"
"common\scripted_effects\00_ntc_scripted_effects_crowns.txt","900","name","showrhaenyra_crown_02_name","True"
