"Catalog","File","Entries","BOM","SHA256"
"EN","localization/replace/english/agot_more_backgrounds_l_english.yml","16","True","7B133FB93E57A1F1AB4A9D17DC41BEF6678A599419A0F32B291F0BC2CEB6B710"
"EN","localization/replace/english/ntc_artifacts_l_english.yml","286","True","10757DF99AB54FBADBE25BB6C93AA5E0F4695E8FA46A9AD0877761DB2C1ED523"
"EN","localization/replace/english/ntc_crown_commission_l_english.yml","32","True","22EE2C34C65139D59DD9039B404B2D84D436B04639E5CDE19CCE1FCEDA4FD9C7"
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","76","True","CB2FD6892C15872902434986DA9243B7118300BC4F072514BCD1E0D47F78B186"
"EN","localization/replace/english/ntc_game_rules_l_english.yml","15","True","123458DFD32CC092EB275496880B920FC8C457310464E2BF2E59FF3023D79F55"
"EN","localization/replace/english/ntc_opinions_l_english.yml","3","True","4D9796DE8E2934899173326B735765224CD88699AA328EF7F3DAE6C050985F82"
"EN","localization/replace/english/agot_portraits/agot_westeroscrowns_portrait_modifiers_l_english.yml","261","True","B35BD96B429BFBB230B5AA85DA3E03AE36A48D569DE17F5A04CC727FE50BF4CD"
"Translation","localization/russian/agot_more_backgrounds_l_russian.yml","16","True","A6BA202588C335C36C6DA7C548385F5931A7740507C9BB7E2A4DF51FE3D92F6C"
"Translation","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","261","True","840B1E07AAEE6D63564960B0B1846AC968B0BD5561580C2410C565A1E424FAA1"
"Translation","localization/russian/ntc_artifacts_l_russian.yml","286","True","B3371442C160F00490C622DDE549F714195B27002877D73813F188C7BB1593E3"
"Translation","localization/russian/ntc_crown_commission_l_russian.yml","32","True","4DF984BA39C30BEBE6BC14AA1364A5ACD87F531B3622073E7F4BC17F3D150F2B"
"Translation","localization/russian/ntc_find_lost_crowns_events_l_russian.yml","76","True","7AEB8F46454C29CEC0AC2932B6BAA0351658B8A31C39153E24DD65137C9DA9D6"
"Translation","localization/russian/ntc_game_rules_l_russian.yml","15","True","8A46C476A706A7DDAE9CD4E20DD0F1B9E155A0ED90E70942E6AA05C86C2713FE"
"Translation","localization/russian/ntc_opinions_l_russian.yml","3","True","CA14208477C476F0A81444D880580DB72FA8801730027F193D55B6772F14E71B"
