catalog,file,line,key,text,header_valid,closed_quote
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,2,fab_ac_landing.0001,The Flight of the Dragons,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,3,fab_ac_landing.0001.desc,"A hundred years ago, the world called my forefather Aenar a fool. Lord Aenar Targaryen, a lesser dragonlord of mighty Valyria, who sold his estates and moved his whole house - wives, children, dragons and all - to a bleak smoking rock at the western edge of the world, on no better counsel than the dreams of his daughter. Twelve years later, the Fourteen Flames tore Valyria apart in a single day and night, and the greatest civilization the world has known drowned in fire and salt water. Daenys the Dreamer had seen truly. Of all the dragonlords of the Freehold, only we endured. We are the last.\n\nFor a hundred years since - the century the world remembers as one long letting of blood - the daughters of Valyria have torn at each other over the corpse of their mother. I have had my taste of those wars: when Pentos and Tyrosh sought the aid of the young Lord of Dragonstone against the grasping Volantenes, I flew Balerion east, burned a war fleet to the waterline, and came home. The lords magister feasted me and begged me to stay. I would not. There is nothing in the east but old ashes quarreling over older ashes.\n\n#bold It is the west that has always called to me. It called to Aenar across a hundred years - and now, at last, I understand why.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,4,fab_ac_landing.0001.option1,The west calls.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,6,fab_ac_landing.0002,The Painted Table,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,7,fab_ac_landing.0002.desc,"Years ago I commanded the carpenters of Dragonstone to carve me a table. They thought their lord mad by the time it was done - fifty feet long, five-and-twenty wide at its broadest, hewn from a single mighty block and painted, every inch, in the likeness of Westeros. Every river and bay, every mountain range and ruined ringfort, every castle and town and holdfast from Oldtown to the Wall, set down exactly - my painters worked from the charts of a hundred traders and the accounts of a thousand travelers.\n\nOne thing, and one thing only, I forbade them to paint: borders. Wander the table's length and you will find no line where the stormlands end and the Reach begins, no seam dividing the kingdoms the Andals carved out of one another. From the raised seat at Dragonstone's place - where I sit now, with the brazier crackling behind me and my sisters at either hand - a man sees the truth those lines were drawn to hide.\n\n#bold It was never seven kingdoms. It is one land. It wants only one king.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,8,fab_ac_landing.0002.option1,One land. One king.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,10,fab_ac_landing.0003,The Arrogant Stag,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,11,fab_ac_landing.0003.desc,"Harren the Black's monstrous castle by the Gods Eye nears completion at last, and forty years of the riverlands' misery with it. A man who has spent a lifetime building the greatest fortress in the world does not intend to sit quietly in it; all Westeros whispers that Harren looks about for new conquests - and none whisper more anxiously than his neighbor the Storm King.\n\nSo Argilac Durrandon, grown old and, for the first time in his proud life, afraid, sent his offer across the water: an alliance against Harren, sealed with the hand of his daughter Argella - and a dowry of lands along the Blackwater to stand as a buffer between stag and kraken. Lands, be it noted, that Harren holds and Argilac does not; the old man offered me another king's ground. I declined the lady with courtesy - the blood of the dragon does not want for wives; I have two, my sisters, wed as Valyria always wed. In her place I offered the hand of Orys Baratheon, my dearest friend and, the whispers say, my brother - and asked lands within Argilac's actual gift as the dowry.\n\nHis answer arrived today, in a box. The hands of my envoy, salted like pork. And a message: #italic 'These are the only hands you shall receive.'#!\n\n#bold The Arrogant, they call him. He has earned the name today - and he will learn the price of it.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,12,fab_ac_landing.0003.option1,Argilac will lose more than hands for this.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,14,fab_ac_landing.0004,The Lord of Dragonstone,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,15,fab_ac_landing.0004.desc,"The box sits open on the Painted Table. My envoy will live, the maester says. He will never hold a sword again.\n\nI have been patient. For years the kings of Westeros have sent their ravens to Dragonstone - seeking my dragons for their wars, my fleet for their quarrels, my house for their daughters - as though the blood of the dragon were a sellsword company to be hired, flattered, and dismissed. Argilac's insult is only the last and grossest of a hundred. They see a petty lord on a barren rock. They have forgotten what came out of Valyria and what the Doom could not kill.\n\nI am done with the courtesies of petty lords and false kings. Of all the houses of Old Valyria, only mine came through the Doom with its dragons, and no one else under the sun has any. They have taken my patience for weakness - every one of them.\n\n#bold No longer. Westeros will be mine.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,16,fab_ac_landing.0004.option1, #S We answer with fire and blood. #!,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,18,fab_ac_landing.0005,The Dragon Flies West,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,19,fab_ac_landing.0005.desc,"I have called my banners and taken counsel - with my sisters, with Orys, with the lords of the narrow sea. The Velaryons and Celtigars, kin to my house and Valyrian as we are, were mine before I finished speaking; Lord Bar Emmon of Sharp Point and Lord Massey of Stonedance knelt the same hour. Small lords, the kings of Westeros would say. The first lords of a new realm, say I.\n\nThen I sent the ravens - one to every king and great lord in Westeros, each bearing the same words. That from this day there is one king in Westeros. That those who bend the knee to Aegon of House Targaryen shall keep their lands and titles, diminished in nothing but their crowns. And that those who take up arms against him shall be thrown down, humbled, and destroyed.\n\nThe maesters will note that I addressed no kingdoms, acknowledged no borders, treated the seven crowns as seven vanities. That was no oversight. I have stood at the Painted Table; I know what Westeros is, even if Westeros does not yet know it itself.\n\n#bold Every hall from Sunspear to Winterfell will read it: the dragon does not ask twice.#!",True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,20,fab_ac_landing.0005.option1,There is only one king in Westeros.,True,True
EN,localization/english/ac/fab_ac_01_landing_l_english.yml,22,fab_ac_landing.0006,The Toad and the Hawk Reply,True,True
