catalog,key,count,distinct_values,definitions
RU,agot_bm_ac,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 3, ""key"": ""agot_bm_ac"", ""text"": ""Война Завоевания"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 3, ""key"": ""agot_bm_ac"", ""text"": ""Дракон поворачивает на запад"", ""header_valid"": true, ""closed_quote"": true}]"
RU,agot_bm_ac_desc,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 4, ""key"": ""agot_bm_ac_desc"", ""text"": ""Поколениями Драконий Камень взирал на угасание старого валирийского мира по ту сторону Узкого моря. Эйгон Таргариен обратил свой взор на Вестерос. изучив его побережья, реки и горы, он приказал изготовить великий расписной стол: не просто карту, а очертания королевства, ожидающей своего создания. \\n \\nСемь королевских домов делят континент. Харрен Хоар правит Речными землями из своей огромной новой крепости; Аргилак Дюррандон оберегает Штормовые земли; Старки владеют обширным Севером; Ланнистеры командуют золотом запада; Гарденеры царствуют над плодородным Простором; Аррены укрываются за Кровавыми Воротами; а Мартеллы выживают среди пустынь Дорна. Каждая корона считает себя в безопасности. Ни одна ещё не сталкивалась с тремя драконами, действующими с единой целью. \\n \\n#bold В Вестеросе семь королевств и семь корон. Эйгон намерен оставить единого короля.#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 4, ""key"": ""agot_bm_ac_desc"", ""text"": ""Поколениями Драконий Камень взирал на угасание старого валирийского мира по ту сторону Узкого моря. Эйгон Таргариен обратил свой взор на Вестерос. Изучив его побережья, реки и горы вместе с Визеньей и Рейнис, он приказал изготовить великий расписной стол: не просто карту, а очертания королевства, ожидающей своего создания. \\n \\nСемь королевских домов делят континент. Харрен Хоар правит Речными землями из своей огромной новой крепости; Аргилак Дюррандон оберегает Штормовые земли; Старки владеют обширным Севером; Ланнистеры командуют золотом запада; Гарденеры царствуют над плодородным Простором; Аррены укрываются за Кровавыми Воротами; а Мартеллы выживают среди пустынь Дорна. Каждая корона считает себя в безопасности. Ни одна из корон ещё не сталкивалась с тремя драконами, действующими с единой целью. \\n \\n#bold В Вестеросе семь королевств и семь корон. Эйгон намерен оставить единого короля.#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_aegon_targaryen,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 6, ""key"": ""bookmark_02_aegon_targaryen"", ""text"": ""Эйгон Драконьего Камня"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 6, ""key"": ""bookmark_02_aegon_targaryen"", ""text"": ""Эйгон Таргариен"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_aegon_targaryen_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 7, ""key"": ""bookmark_02_aegon_targaryen_desc"", ""text"": ""С Драконьего Камня Эйгон готовит высадку на Черноводной и войны, которые должны последовать. Его притязание дерзко: каждая корона Вестероса должна пасть перед драконом. Визенья, Рейнис и их ездовые драконы придают этим притязаниям силу пророчества. \\n \\n#bold Объединит ли Эйгон континент под домом Таргариенов, или его завоевание погибнет на чуждом берегу?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 7, ""key"": ""bookmark_02_aegon_targaryen_desc"", ""text"": ""С Драконьего Камня Эйгон готовит высадку на Черноводной и войны, которые должны последовать. Его притязание дерзко: каждая корона Вестероса должна пасть перед драконом. Визенья, Рейнис и их ездовые драконы придают этим притязаниям силу пророчества. \\n \\n#bold Объединит ли Эйгон континент под домом Таргариенов, или его завоевание погибнет на чуждом берегу?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_visenya_targaryen,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 8, ""key"": ""bookmark_02_visenya_targaryen"", ""text"": ""Визенья, всадница Вагар"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 8, ""key"": ""bookmark_02_visenya_targaryen"", ""text"": ""Визенья, всадница Вагар"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_rhaenys_targaryen,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 9, ""key"": ""bookmark_02_rhaenys_targaryen"", ""text"": ""Рейнис, всадница Меракс"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 9, ""key"": ""bookmark_02_rhaenys_targaryen"", ""text"": ""Рейнис, всадница Меракс"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_harren_hoare,2,2,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 11, ""key"": ""bookmark_02_harren_hoare"", ""text"": ""Харрен Хоар, Чёрный король"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 11, ""key"": ""bookmark_02_harren_hoare"", ""text"": ""Харрен Чёрный"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_harren_hoare_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 12, ""key"": ""bookmark_02_harren_hoare_desc"", ""text"": ""Сорок лет трудов вознесли Харренхолл над Оком Бога, больше любого замка Вестероса и оплаченные кровью речных земель. Харрен Хоар уповает на свои стены, своих железнорождённых и ужас, связанный с его именем. Прибытие Эйгона проверит все три. \\n \\n#bold Сможет ли Чёрный король сломить завоевателя, или он построил костёр для собственного дома?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 12, ""key"": ""bookmark_02_harren_hoare_desc"", ""text"": ""Сорок лет трудов вознесли Харренхолл над Оком Бога, больше любого замка Вестероса и оплаченные кровью речных земель. Харрен Хоар уповает на свои стены, своих железнорождённых и ужас, связанный с его именем. Прибытие Эйгона проверит все три. \\n \\n#bold Сможет ли Чёрный король сломить завоевателя, или он построил костёр для собственного дома?#"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_argilac_durrandon,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 14, ""key"": ""bookmark_02_argilac_durrandon"", ""text"": ""Аргилак, последний Король Штормов"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 14, ""key"": ""bookmark_02_argilac_durrandon"", ""text"": ""Аргилак, последний Король Штормов"", ""header_valid"": true, ""closed_quote"": true}]"
RU,bookmark_02_argilac_durrandon_desc,2,1,"[{""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml"", ""line"": 15, ""key"": ""bookmark_02_argilac_durrandon_desc"", ""text"": ""Аргилак Дюррандон искал союза, предложив Эйгону земли, принадлежавшие Харрену Хоару. Ответом Эйгона было требование большего — и брак между Аргеллой и бастардом Орисом Баратеоном. Король Штормов считает это предложение оскорблением, на которое можно ответить только сталью. \\n \\n#bold Сможет ли Аргилак сохранить древнюю корону Дюррандонов и смирить драконовладыку, оскорбившего его дом?#"", ""header_valid"": true, ""closed_quote"": true}, {""catalog"": ""RU"", ""file"": ""localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml"", ""line"": 15, ""key"": ""bookmark_02_argilac_durrandon_desc"", ""text"": ""Аргилак Дюррандон искал союза, предложив Эйгону земли, принадлежавшие Харрену Хоару. Ответом Эйгона было требование большего — и брак между Аргеллой и бастардом Орисом Баратеоном. Король Штормов считает это предложение оскорблением, на которое можно ответить только сталью. \\n \\n#bold Сможет ли Аргилак сохранить древнюю корону Дюррандонов и смирить драконовладыку, оскорбившего его дом?#"", ""header_valid"": true, ""closed_quote"": true}]"
