key,en_file,en_line,ru_file,ru_line,english,russian,en_only_queries,ru_only_queries,en_only_refs,ru_only_refs
bookmark_fab_aegon_desc,localization/english/ac/fab_ac_bookmark_l_english.yml,8,localization/russian/fab_conquest_l_russian.yml,8,"[Concept( 'story_content_fab_aegon', '$bm_story_content_available_icon|q$' )|E] [Concept( 'story_content_fab_aegon', '$bm_story_content_available_copy|q$' )|E]\nThe Lord of Dragonstone is a riddle even to those who love him: solitary, brooding, a man who takes counsel from no one save his two sister-wives - and dreams, some whisper, of things not yet come to pass. Now the riddle has an answer, and the answer is conquest. Astride Balerion the Black Dread, with Visenya and Rhaenys at his wings, Aegon means to make seven kingdoms into one.\n\n#bold The Conqueror's war begins. Will history remember the man who forged Westeros - or the fool who burned upon its spears? #!","Лорд Драконьего Камня — загадка даже для тех, кто его любит: одинокий, задумчивый, человек, который не советуется ни с кем, кроме своих двух сестёр-жён — и мечтает, как шепчутся, о вещах, которым ещё предстоит сбыться. Теперь у загадки есть ответ, и ответ этот — завоевание. Верхом на Балерионе Чёрном Ужасе, с Висеньей и Рейнис на крыльях, Эйгон намерен сделать семь королевств одним.\n\n#bold Война Завоевателя начинается. Запомнит ли история человека, сковавшего Вестерос — или глупца, сгоревшего на его копьях?#!","[""[Concept( 'story_content_fab_aegon', '$bm_story_content_available_icon|q$' )|E]"", ""[Concept( 'story_content_fab_aegon', '$bm_story_content_available_copy|q$' )|E]""]",[],"[""bm_story_content_available_icon|q"", ""bm_story_content_available_copy|q""]",[]
bookmark_fab_argilac_desc,localization/english/ac/fab_ac_bookmark_l_english.yml,38,localization/russian/fab_conquest_l_russian.yml,38,"[Concept( 'story_content_fab_argilac', '$bm_story_content_available_icon|q$' )|E] [Concept( 'story_content_fab_argilac', '$bm_story_content_available_copy|q$' )|E]\nArgilac the Arrogant is old, but the warrior who shattered a Dornish invasion has lost none of his fury. His offer of land and marriage was answered by Aegon Targaryen with a bastard's hand for his only daughter—an insult no Storm King could endure. Now the gathering storm will break upon dragons.\n\n#bold Will Argilac cast the invaders back into the narrow sea, or will House Durrandon die with its last king? #!","Аргилак Высокомерный стар, но воин, сокрушивший дорнийское вторжение, не утратил своей ярости. Его предложение земли и брака было встречено Эйгоном Таргариеном бастардовой рукой для его единственной дочери — оскорбление, которого не вынес бы ни один Штормовой Король. Теперь надвигающаяся буря обрушится на драконов.\n\n#bold Сможет ли Аргилак отбросить захватчиков обратно в Узкое море, или дом Дюррандонов умрёт вместе со своим последним королём?#!","[""[Concept( 'story_content_fab_argilac', '$bm_story_content_available_icon|q$' )|E]"", ""[Concept( 'story_content_fab_argilac', '$bm_story_content_available_copy|q$' )|E]""]",[],"[""bm_story_content_available_icon|q"", ""bm_story_content_available_copy|q""]",[]
FAB_CONQUEST_IRON_ISLANDS_WAR_NAME,localization/english/ac/fab_ac_cb_l_english.yml,69,localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml,77,The War for the Iron Islands,[ATTACKER.GetFirstNamePossessive] завоевание Железных островов,[],"[""[ATTACKER.GetFirstNamePossessive]""]",[],[]
FAB_CONQUEST_IRON_ISLANDS_WAR_NAME_BASE,localization/english/ac/fab_ac_cb_l_english.yml,70,localization/replace/russian/ac/cb/fab_ac_wars_l_russian.yml,78,The War for the Iron Islands,[ATTACKER.GetFirstNamePossessive] завоевание Железных островов,[],"[""[ATTACKER.GetFirstNamePossessive]""]",[],[]
fab_dorne.0005.desc,localization/english/ac/fab_dorne_events_l_english.yml,19,localization/russian/fab_dorne_l_russian.yml,19,"[fab_reach_lord.GetTitledFirstName] has reached the Hellholt with a host no singer will envy.\n\nA quarter of the men are gone to thirst, fever, broken feet, and arrows loosed from places no outrider could reach in time. Nearly all the horses are dead. Every waterhole was fouled; every oasis had been poisoned before the van came within sight of it. Men who wore green at Highgarden now stagger beneath brown cloaks stiff with salt and dust.\n\nThe Hellholt gave the Reach walls, sun, and silence. Its halls were empty by the time the Tyrell banners appeared, and [fab_reach_lord.GetSheHe] was left to count the dead before a castle that had refused even the dignity of surrender.\n\n#bold A dragon may fly over the desert. An army must cross it.#!","[fab_reach_lord.GetTitledFirstName] дошёл до Хеллхолта — четверть людей погибли от жажды, стрел и отравленной воды. Хеллхолт пуст, как и все остальные.\n\nДракон может перелететь пустыню, но армия должна пересечь её пешком.","[""[fab_reach_lord.GetSheHe]""]",[],[],[]
fab_dorne.0010.desc,localization/english/ac/fab_dorne_events_l_english.yml,39,localization/russian/fab_dorne_l_russian.yml,43,"I have come home through the Prince's Pass, and the realm calls Dorne conquered.\n\n[fab_reach_lord.GetTitledFirstName] remains at the Hellholt with what is left of [fab_reach_lord.GetHerHis] host, and the letters grow shorter each time. The men sicken on fish drawn from the sulfurous Brimstone and curse every cup before they dare to drink it. Patrols sent toward Sandstone and Vaith do not come back beaten - they do not come back at all, horses and mail and men together. Qorgyle riders strike out of the noon glare and are gone before any pursuit can even form.\n\nIn the capital they toast seven kingdoms under one throne, and the singers are already quarreling over who gets to have crossed the desert first. In Dorne, men keep dying on roads we have already won. I have left [fab_sunspear_castellan.GetTitledFirstName] a palace, [fab_reach_lord.GetTitledFirstName] a furnace, and both of them my luck.\n\n#bold The map is cleaner than the war.#!","Я вернулся через Принцессов Проход — в столице считают, что Дорн завоёван. [fab_reach_lord.GetTitledFirstName] остаётся в Хеллхолте, письма становятся короче. Патрули не возвращаются.\n\nВ столице тост за семь королевств, а в Дорне люди умирают на дорогах, которые мы уже заняли.","[""[fab_reach_lord.GetTitledFirstName]"", ""[fab_reach_lord.GetHerHis]"", ""[fab_sunspear_castellan.GetTitledFirstName]""]",[],[],[]
fab_dorne.0011.desc,localization/english/ac/fab_dorne_events_l_english.yml,43,localization/russian/fab_dorne_l_russian.yml,47,"Dorne has risen behind us like fire under ash.\n\nSkyreach, Yronwood, the Tor, and Ghost Hill have all been retaken, their garrisons put to the sword. Castellans are dragged from halls and towers, tortured, broken, and displayed for every Dornish child to remember. The shadow city has poured back into Sunspear with knives under cloaks and stones in every hand.\n\n[fab_sunspear_castellan.GetTitledFirstName], my Warden of the Sands, was hauled through the Spear Tower by men who had bowed to him only days before. They brought him before Meria Martell in the high chamber, where the old princess sat beneath the sun-and-spear with blind eyes turned toward his voice. He begged to be ransomed. Meria asked whether Aegon had ransomed the dead left in the Prince's Pass.\n\nAt her command, the windows were opened. My castellan was dragged across the tiles, lifted struggling onto the sill, and thrown out over the city he had been named to rule. The crowd below cheered when he struck the stones.\n\nBy dusk the Martell sun flew over Sunspear again, and every Dornish throat in the shadow city knew the sound of freedom.\n\n#bold We conquered an empty land. The Dornish waited until we had to hold it.#!","Дорн восстал у нас за спиной. Скайрич, Йронвуд, Тор и Призрачный Холм отбиты, гарнизоны перебиты. Кастеляна выбросили из башни на глазах у толпы.\n\nМы заняли пустую землю. Дорнийцы ждали, пока нам придётся её удерживать.","[""[fab_sunspear_castellan.GetTitledFirstName]""]",[],[],[]
fab_dorne.0012.desc,localization/english/ac/fab_dorne_events_l_english.yml,47,localization/russian/fab_dorne_l_russian.yml,51,"[fab_reach_lord.GetTitledFirstName] marched from the Hellholt for Vaith and Sunspear, and no certain word has followed the host north.\n\nScouts found dead horses first, then broken spears, then a cookfire cold beneath a cliff where no army had any cause to camp. The desert gives back scraps when it wishes to be cruel. It has not given back the lord of Highgarden, nor the host that followed [fab_reach_lord.GetHerHim] into the sands.\n\nHighgarden will have a new lord, and the Reach will have a wound that no raven can explain. Dorne has swallowed a Lord Paramount whole.\n\n#bold Some castles can be taken. Some deserts only take.#!","[fab_reach_lord.GetTitledFirstName] выступил к Вейту — и пропал. Нашли мёртвых лошадей, сломанные копья, пустой костёр. Лорд Хайгардена исчез в пустыне.\n\nНекоторые замки можно взять, но пустыня забирает людей.","[""[fab_reach_lord.GetHerHim]""]",[],[],[]
fab_dorne.0043.desc.aenys,localization/english/ac/fab_dorne_events_l_english.yml,157,localization/russian/fab_dorne_l_russian.yml,129,"Dragonstone takes me in without a word, the way old houses take back their children.\n\nAs for what Nymor wrote to me - the words are ash over Blackwater Bay, and ash they will remain. The maesters may guess. The singers may lie. Visenya herself may ask me with her hand on Dark Sister, and it will change nothing. Some things a king carries alone, and this one I will carry to my grave.\n\nI mean to sit the night with the Painted Table, and instead my feet carry me to the nursery door. [fab_rhaenys_child.GetFirstName] is asleep with [fab_rhaenys_child.GetHerHis] silver hair across the pillow, small beneath the blankets, and the young dragon that hatched in [fab_rhaenys_child.GetHerHis] cradle lies curled at the foot of the bed like a cat made of pale flame. Rhaenys carried [fab_rhaenys_child.GetHerHim] in this castle while the realm made war. So few years she had of [fab_rhaenys_child.GetHerHim]. She saw the first steps taken on these very stones - and she will never see the rest of it, the first flight, the first vows, the day the child's face becomes one she would have known anywhere, and [fab_rhaenys_child.GetFirstName] will remember her as a warmth more than a face.\n\nWhen I turn from the bed she is there - by the window where she always stood, where the salt wind used to catch her hair. Grief, the maesters would say, and no ghost. On Dragonstone the difference has always been thin. She does not speak. She looks at our sleeping child, and then at me, and her eyes ask the only question left in the world.\n\n#bold By dawn I must answer her, and Nymor, and the child behind me.#!","Драконий Камень молчит, как старый дом. Что Нимор написал — пепел над морем. Некоторые вещи король должен нести один.\n\nВ детской спит [fab_rhaenys_child.GetFirstName]. Рейнис не увидит [fab_rhaenys_child.GetHerHis] взросления. У окна стоит её призрак и молча спрашивает меня. К рассвету я должен ответить.","[""[fab_rhaenys_child.GetFirstName]"", ""[fab_rhaenys_child.GetHerHis]"", ""[fab_rhaenys_child.GetHerHim]"", ""[fab_rhaenys_child.GetHerHim]""]",[],[],[]
fab_dorne.0050.desc,localization/english/ac/fab_dorne_events_l_english.yml,172,localization/russian/fab_dorne_l_russian.yml,183,"The great doors stand open, and the sun-and-spear of House Martell is carried the length of my hall - lowered.\n\nThere was no single day this war was won. The Hellholt starved until even Uller pride ran dry. The passes were taken a thirsting mile at a time, garrisoned, and this once never given back. Castle by castle the sands ran out of places to hide an army, and Dorne - never beaten in the field - woke one morning to find there was no field left.\n\nNow [fab_dorne_kneeler.GetTitledFirstName] kneels below the Iron Throne, before the lords of six kingdoms that today become seven. [fab_dorne_kneeler.GetSheHe|U] does not speak the old boast of Sunspear, and no one in the hall speaks it for [fab_dorne_kneeler.GetHerHim]. Unbowed, unbent, unbroken - there is no need to say it. Every eye can see how the boast ends.\n\nBowed. Bent. And unbroken only because I will it so: Dorne keeps its lords, [fab_dorne_kneeler.GetFirstName] keeps the sun-and-spear, and all of it passes beneath the dragon's wing.\n\n#bold Seven kingdoms. One realm. Ring the bells.#!","Знамя Мартеллов проносят через зал — опущенное. Не было одного дня победы — только голод, осады и терпение. Дорн устал воевать.\n\n[fab_dorne_kneeler.GetTitledFirstName] преклоняет колено под троном. Семь королевств. Одно королевство.","[""[fab_dorne_kneeler.GetSheHe|U]"", ""[fab_dorne_kneeler.GetHerHim]"", ""[fab_dorne_kneeler.GetFirstName]""]",[],[],[]
