"Catalog","File","Line","Problem"
"CK3","localization/russian/dlc/bp1/dlc_bp1_pilgrimage_events_chad_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/dlc/ep2/dlc_ep2_test_events_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/dlc/ep2/tour/tour_events_veronica_2_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/dlc/fp2/dlc_fp2_catalysts_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/dlc/fp2/dlc_fp2_temporary_placeholder_for_errors_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/dlc/fp2/dlc_fp2_triggers_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/event_localization/activities/tour_events_veronica_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/event_localization/travel_events/travel_test_events_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/event_localization/travel_events_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/gui/fleetwindow_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/gui/portrait_customization_window_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/modifiers/jbeebs_modifiers_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/struggles_l_russian.yml","1","Missing expected language header; file excluded"
"CK3","localization/russian/triggers/trigger_system_l_russian.yml","1","Missing expected language header; file excluded"
