"Memory","Key","RussianExists","AllowedScopes","UsedScopes","UnavailableScopes"
"read_prophecy","read_prophecy_desc","True","owner,aegonTargLoc","aegonTargLoc,owner",""
"read_prophecy","read_prophecy_desc_second_perspective","True","owner,aegonTargLoc","aegonTargLoc",""
"read_prophecy","read_prophecy_desc_third_perspective","True","owner,aegonTargLoc","aegonTargLoc,owner",""
"read_prophecy_to_heir","read_prophecy_to_heir_desc","True","owner,heir,aegonTargLoc","aegonTargLoc,heir,owner",""
"read_prophecy_to_heir","read_prophecy_desc_second_perspective","True","owner,heir,aegonTargLoc","aegonTargLoc",""
"read_prophecy_to_heir","read_prophecy_desc_third_perspective","True","owner,heir,aegonTargLoc","aegonTargLoc,owner",""
"inherit_prophecy","inherit_prophecy_desc","True","owner,daggerOwner,aegonTargLoc","aegonTargLoc,daggerOwner,owner",""
"inherit_prophecy","inherit_prophecy_desc_second_perspective","True","owner,daggerOwner,aegonTargLoc","aegonTargLoc,daggerOwner",""
"inherit_prophecy","inherit_prophecy_desc_third_perspective","True","owner,daggerOwner,aegonTargLoc","aegonTargLoc,daggerOwner,owner",""
"discover_prophecy","discover_prophecy_desc","True","owner,aegonTargLoc","aegonTargLoc,owner",""
"discover_prophecy","discover_prophecy_desc_second_perspective","True","owner,aegonTargLoc","aegonTargLoc",""
"discover_prophecy","discover_prophecy_desc_third_perspective","True","owner,aegonTargLoc","aegonTargLoc,owner",""
"sold_rubies","sold_rubies_desc","True","owner","owner",""
"sold_rubies","sold_rubies_desc_second_perspective","True","owner","",""
"sold_rubies","sold_rubies_desc_third_perspective","True","owner","owner",""
"buy_rubies","buy_rubies_desc","True","owner","owner",""
"buy_rubies","buy_rubies_desc_second_perspective","True","owner","",""
"buy_rubies","buy_rubies_desc_third_perspective","True","owner","owner",""
