"Catalog","File","Entries","BOM","SHA256"
"EN","localization/english/lotd_clothing_l_english.yml","32","True","7E0CD8610282F9A05289E91482652AAB473B31D9DB19D29AB894BC0CF5B46F5C"
"EN","localization/english/lotd_decisions_l_english.yml","36","True","9C552A217831ACE22843814DBA62C00E7E50FEDA30A1F0221A10214EBFCCF911"
"EN","localization/english/lotd_memories_l_english.yml","25","True","279D31DE4DD82E968D07EF1F89147C99F8A611E2CAA7D1EDB7A6F71EEF6635C3"
"EN","localization/english/lotd_poses_l_english.yml","33","True","C385812B2B941F13A6BFEDDBA265433E13AF372A6C94CEF2C0884AA4441599B9"
"EN","localization/english/artifacts/lotd_artifacts_l_english.yml","38","True","68DC50F52142B92184380C30BD74FD0648318A652602C5707635A9100AAC1872"
"EN","localization/english/event_localization/buy_valyrian_mask_l_english.yml","20","True","BEC8861C69A6CA34AFEF7BDCEE250D87285936A4D816E15C95538A54F076581C"
"EN","localization/english/event_localization/read_prophecy_l_english.yml","30","True","E4742F22EE90F4239A97DF4F49E38CA791A3A44647B977989F0E1B6B1E7307F0"
"EN","localization/english/event_localization/rediscover_l_english.yml","25","True","1E2796463B9130EC1616E676796F478B19FB917FE80C0DB0234C4894AF16E24E"
"EN","localization/english/event_localization/sell_rubies_l_english.yml","21","True","24ECF0B1B293070E0390CF7E9B11DD6093A851DB4E6A692950B3A63A8F23B091"
"Translation","localization/russian/buy_valyrian_mask_l_russian.yml","20","True","E3181FEDA7F14864E85FBE356BAA75AC8090272384960EB674CF711CE81E3B35"
"Translation","localization/russian/lotd_artifacts_l_russian.yml","38","True","C82605FE620C71E42690DB720F78754474F9B6FFCFD95B725CC0EB5F8B0635FD"
"Translation","localization/russian/lotd_clothing_l_russian.yml","32","True","A6E56DCAC9944576ADDA123EDAEED53949CD855DDB98CDB1EF6F4F3578D1914A"
"Translation","localization/russian/lotd_decisions_l_russian.yml","36","True","F71371AF683BB2332D23F25435F6B9900FFB98C5E6C39A3B80C0EBBCF5700095"
"Translation","localization/russian/lotd_memories_l_russian.yml","25","True","095F53A2E971FA9FB22472854E1C57434B713AE3F680A08255514149015AA765"
"Translation","localization/russian/lotd_poses_l_russian.yml","33","True","371E3112ED2795D21D3682CCA71A2A364033A856882ECEC444046A9D4460063E"
"Translation","localization/russian/read_prophecy_l_russian.yml","30","True","AA3DB9722BCE81FF3475DE92FB119A350FB6DF95B98771588836C6FC6E94D7F2"
"Translation","localization/russian/rediscover_l_russian.yml","25","True","D937481BC3AE997F3B848881689E363D2D228A5494D4CD1F93FD74A7D3349F88"
"Translation","localization/russian/sell_rubies_l_russian.yml","21","True","5E055BBF659F6464928C62D37ACA8AD7CD5F1E5444E135AD3F873E1E6F00EEC4"
