"Key","Kind","File","Line","EnglishTokens","RussianTokens"
"buy_facemask_desc.0001.desc","Expressions","localization/russian/buy_valyrian_mask_l_russian.yml","12","[ROOT.Char.GetLadyLord|U]",""
"buy_facemask_desc.0001.desc","Escapes","localization/russian/buy_valyrian_mask_l_russian.yml","12","\"" || \n || \n","\n || \n"
"buy_rubies_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","26","","[Select_CString(owner.IsFemale, 'выкупила', 'выкупил')]"
"buy_rubies_desc_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","28","[owner.GetHerHis] || [owner.GetName]","[owner.GetHerHis] || [owner.GetName] || [Select_CString(owner.IsFemale, 'выкупила', 'выкупил')]"
"buy_ruby_crown.0001.desc","Expressions","localization/russian/sell_rubies_l_russian.yml","35","","[Select_CString(ROOT.Char.IsFemale, 'а', '')]"
"buy_ruby_crown_desc","Expressions","localization/russian/sell_rubies_l_russian.yml","23","[gold|E]","[Concept( 'gold', 'золота' )|E]"
"buy_ruby_crown_effect_1","Expressions","localization/russian/sell_rubies_l_russian.yml","29","[gold|E]","[Concept( 'gold', 'золота' )|E]"
"buy_ruby_crown_effect_2","Expressions","localization/russian/sell_rubies_l_russian.yml","30","[prestige|E]","[Concept( 'prestige', 'престижа' )|E]"
"discover_prophecy_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","15","[aegonTargLoc.GetFirstNameNicknamedPossessive]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [Select_CString(owner.IsFemale, 'вновь открыла', 'вновь открыл')]"
"discover_prophecy_desc_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","17","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [owner.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [owner.GetName] || [Select_CString(owner.IsFemale, 'вновь открыла', 'вновь открыл')]"
"inherit_prophecy_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","11","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [daggerOwner.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [daggerOwner.GetName] || [Select_CString(owner.IsFemale, 'узнала', 'узнал')]"
"inherit_prophecy_desc_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","13","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [daggerOwner.GetName] || [owner.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [daggerOwner.GetName] || [owner.GetName] || [Select_CString(owner.IsFemale, 'узнала', 'узнал')]"
"read_prophecy.0001.a","Expressions","localization/russian/read_prophecy_l_russian.yml","37","","[Select_CString(ROOT.Char.IsFemale, 'сама', 'сам')]"
"read_prophecy.0001.d","Expressions","localization/russian/read_prophecy_l_russian.yml","40","","[Select_CString(ROOT.Char.IsFemale, 'должна', 'должен')]"
"read_prophecy.0004.a","Expressions","localization/russian/read_prophecy_l_russian.yml","41","[aegonTarg.GetFirstNameNicknamedPossessive]","[aegonTarg.GetFirstNameNicknamedPossessive] || [Select_CString(ROOT.Char.IsFemale, 'открыла', 'открыл')]"
"read_prophecy_0001_aegon_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","8","","[Select_CString(ROOT.Char.IsFemale, 'вглядывалась', 'вглядывался')]"
"read_prophecy_0001_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","6","[aegonTarg.GetTitledFirstName]","[aegonTarg.GetTitledFirstName] || [Select_CString(ROOT.Char.IsFemale, 'вглядывалась', 'вглядывался')]"
"read_prophecy_0002_c_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","16","[aegonTarg.GetFirstName]","[aegonTarg.GetFirstName] || [aegonTarg.GetFirstName]"
"read_prophecy_0003_aegon_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","49","[daenysTarg.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName]","[daenysTarg.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [Select_CString(heir.IsFemale, 'должна', 'должен')]"
"read_prophecy_0003_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","46","[aegonTarg.GetFirstName] || [aegonTarg.GetFirstName] || [aegonTarg.GetFirstName] || [aegonTarg.GetFirstNameNicknamedPossessive] || [daenysTarg.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName]","[aegonTarg.GetFirstName] || [aegonTarg.GetFirstName] || [aegonTarg.GetFirstName] || [aegonTarg.GetFirstNameNicknamedPossessive] || [daenysTarg.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [heir.GetFirstName] || [Select_CString(heir.IsFemale, 'должна', 'должен')]"
"read_prophecy_0020_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","19","","[Select_CString(ROOT.Char.IsFemale, 'знала', 'знал')]"
"read_prophecy_0021_b_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","25","[ancestor_1.GetTitledFirstName] || [ancestor_2.GetTitledFirstName] || [ancestor_3.GetTitledFirstName] || [ancestor_4.GetTitledFirstName]","[ancestor_1.GetTitledFirstName] || [ancestor_2.GetTitledFirstName] || [ancestor_3.GetTitledFirstName] || [ancestor_4.GetTitledFirstName] || [Select_CString(ROOT.Char.IsFemale, 'живая', 'живой')] || [Select_CString(ROOT.Char.IsFemale, 'ная', 'ный')]"
"read_prophecy_0021_c_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","27","[aegonTarg.GetFirstName] || [rhaenys.GetFirstName] || [visenya.GetFirstName]","[aegonTarg.GetFirstName] || [rhaenys.GetFirstName] || [Select_CString(ROOT.Char.IsFemale, 'невредимой', 'невредимым')] || [visenya.GetFirstName]"
"read_prophecy_0021_d_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","29","","[Select_CString(ROOT.Char.IsFemale, 'бежала', 'бежал')] || [Select_CString(ROOT.Char.IsFemale, 'невредимой', 'невредимым')]"
"read_prophecy_0021_e_desc","Expressions","localization/russian/read_prophecy_l_russian.yml","31","","[Select_CString(ROOT.Char.IsFemale, 'Потрясённая', 'Потрясённый')]"
"read_prophecy_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","3","[aegonTargLoc.GetFirstNameNicknamedPossessive]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [Select_CString(owner.IsFemale, 'прочла', 'прочёл')]"
"read_prophecy_desc_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","5","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [owner.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [owner.GetName] || [Select_CString(owner.IsFemale, 'прочла', 'прочёл')]"
"read_prophecy_desc_to_heir_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","9","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [heir.GetName] || [owner.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [heir.GetName] || [owner.GetName] || [Select_CString(owner.IsFemale, 'передала', 'передал')]"
"read_prophecy_to_heir_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","7","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [heir.GetName]","[aegonTargLoc.GetFirstNameNicknamedPossessive] || [heir.GetName] || [Select_CString(owner.IsFemale, 'передала', 'передал')]"
"rediscover_events_0002_desc","Expressions","localization/russian/rediscover_l_russian.yml","17","[antiquarian.GetFirstName] || [main.GetTitleTierName]","[antiquarian.GetFirstName]"
"rediscover_events_1001_desc","Expressions","localization/russian/rediscover_l_russian.yml","20","[antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [main.GetDynasty.GetBaseName] || [main.GetDynasty.GetBaseName]","[antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [main.GetDynasty.GetBaseName] || [main.GetDynasty.GetBaseName] || [Select_CString(antiquarian.IsFemale, 'измотанная', 'измотанный')]"
"rediscover_events_1002_desc","Expressions","localization/russian/rediscover_l_russian.yml","22","[antiquarian.GetFirstName] || [antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [antiquarian.GetSheHe|U] || [brynden.GetFirstNameNicknamed] || [main.GetDynasty.GetBaseName] || [ROOT.Char.GetTitleAsName]","[antiquarian.GetFirstName] || [antiquarian.GetFirstName] || [antiquarian.GetSheHe|L] || [antiquarian.GetSheHe|U] || [brynden.GetFirstNameNicknamed] || [main.GetDynasty.GetBaseName] || [Select_CString(antiquarian.IsFemale, 'принесла', 'принёс')] || [Select_CString(antiquarian.IsFemale, 'прошла', 'прошёл')]"
"rediscover_events_1003_desc","Expressions","localization/russian/rediscover_l_russian.yml","24","[aegonTarg.GetTitledFirstName] || [aenar.GetTitledFirstName] || [antiquarian.GetFirstName] || [antiquarian.GetHerHim] || [antiquarian.GetSheHe|U] || [antiquarian.GetSheHe|U] || [ROOT.Char.GetTitleAsName] || [viserys.GetTitledFirstName]","[aegonTarg.GetTitledFirstName] || [aenar.GetTitledFirstName] || [antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [antiquarian.GetSheHe|U] || [Select_CString(antiquarian.IsFemale, 'нашла', 'нашёл')] || [viserys.GetTitledFirstName]"
"rediscover_events_1005_desc","Expressions","localization/russian/rediscover_l_russian.yml","28","[aegonTarg.GetDynasty.GetBaseName] || [aegonTarg.GetDynasty.GetBaseName] || [aegonTarg.GetTitledFirstName] || [aegonTarg.GetTitledFirstName] || [antiquarian.GetFirstName] || [daeron.GetTitledFirstName] || [main.GetDynasty.GetBaseName] || [visenya.GetFirstName]","[aegonTarg.GetDynasty.GetBaseName] || [aegonTarg.GetTitledFirstName] || [aegonTarg.GetTitledFirstName] || [antiquarian.GetFirstName] || [daeron.GetTitledFirstName] || [main.GetDynasty.GetBaseName] || [Select_CString(ROOT.Char.IsFemale, 'могла', 'мог')] || [visenya.GetFirstName]"
"rediscover_events_1007_desc","Expressions","localization/russian/rediscover_l_russian.yml","32","[antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [jaehaerys.GetTitledFirstName] || [rhae.GetTitledFirstName] || [ROOT.Char.GetTitleAsName]","[antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [jaehaerys.GetTitledFirstName] || [rhae.GetTitledFirstName] || [Select_CString(antiquarian.IsFemale, 'нашла', 'нашёл')] || [Select_CString(antiquarian.IsFemale, 'прибыла', 'прибыл')] || [Select_CString(rhae.IsFemale, 'продала', 'продал')]"
"rediscover_events_1008_desc","Expressions","localization/russian/rediscover_l_russian.yml","34","[aegonTarg.GetDynasty.GetBaseName] || [antiquarian.GetFirstName] || [antiquarian.GetHerHim] || [antiquarian.GetSheHe|U] || [ROOT.Char.GetTitleAsName] || [visenya.GetFirstName]","[aegonTarg.GetDynasty.GetBaseName] || [antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [Select_CString(antiquarian.IsFemale, 'нашла', 'нашёл')] || [visenya.GetFirstName]"
"rediscover_events_1009_desc","Expressions","localization/russian/rediscover_l_russian.yml","36","[aegon_3.GetTitledFirstName] || [aegonTarg.GetDynasty.GetBaseName] || [antiquarian.GetFirstName] || [antiquarian.GetFirstName] || [antiquarian.GetHerHim]","[aegon_3.GetTitledFirstName] || [aegonTarg.GetDynasty.GetBaseName] || [antiquarian.GetFirstName] || [antiquarian.GetFirstName]"
"rediscover_events_1012_desc","Expressions","localization/russian/rediscover_l_russian.yml","42","[antiquarian.GetFirstName] || [antiquarian.GetHerHim] || [antiquarian.GetSheHe|U] || [baelor.GetTitledFirstName]","[antiquarian.GetFirstName] || [antiquarian.GetSheHe|U] || [baelor.GetTitledFirstName]"
"sell_ruby_crown_effect_1","Expressions","localization/russian/sell_rubies_l_russian.yml","8","[gold|E]","[Concept( 'gold', 'золота' )|E]"
"sell_ruby_crown_effect_2","Expressions","localization/russian/sell_rubies_l_russian.yml","9","[prestige|E]","[Concept( 'prestige', 'престижа' )|E]"
"sold_rubies_desc","Expressions","localization/russian/lotd_memories_l_russian.yml","31","","[Select_CString(owner.IsFemale, 'продала', 'продал')]"
"sold_rubies_desc_third_perspective","Expressions","localization/russian/lotd_memories_l_russian.yml","33","[owner.GetHerHis] || [owner.GetName]","[owner.GetHerHis] || [owner.GetName] || [Select_CString(owner.IsFemale, 'продала', 'продал')]"
