Key,PreviousReason,Before,After
DRAGONPIT_RULER,Preserve external RU over different builtin replace definition,"Этот дракон находится в [Concept('dragonpit', 'драконьей яме')|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.","Этот дракон находится в [dragonpit|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца."
SHOW_DRAGONPITS,Preserve external RU over different builtin replace definition,"#T Показать драконьи ямы\n#!Показывает действующие [Concept('dragonpits', 'драконьи ямы')|E] и связанные с ними меню.",#T Показать драконьи ямы\n#!Показывает действующие [dragonpits|E] и связанные с ними меню.
SHOW_DRAGONS,Preserve external RU over different builtin replace definition,"#T Показать драконов\n#!Показывает живых [Concept('dragons_plural', 'драконов')|E] и связанные с ними меню.",#T Показать драконов\n#!Показывает живых [dragons_plural|E] и связанные с ними меню.
SHOW_EGGS,Preserve external RU over different builtin replace definition,"#T Показать драконьи яйца\n#!Показывает существующие [Concept('dragon', 'драконьи яйца')|E] и связанные с ними меню.",#T Показать драконьи яйца\n#!Показывает существующие яйца [dragon|E] и связанные с ними меню.
agot_filler_crownlands.0004.tt,Preserve external RU over different builtin replace definition,"Вы получили [Concept('artifact', 'артефакт')|E]: драконье яйцо",Вы получили драконье яйцо ([artifact|E])
dragon_coop_01_domicile_building_desc,Reviewed builtin Russian fallback,Здесь искатели приключений могут содержать своих драконов.,Здесь авантюристы могут содержать своих драконов.
dragonpit_ruler_law_effects,Preserve external RU over different builtin replace definition,"[Concept('dragons_plural', 'Драконы')|E] в вашей [Concept('dragonpit', 'драконьей яме')|E] доступны только тем, кому вы дали разрешение.","[dragons_plural|E] в вашей [dragonpit|e] доступны только тем, кому вы дали явное разрешение."
mde_dragon_eggs_events.0001.desc,Preserve external RU over different builtin replace definition,"Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел в глубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой.","Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел вглубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой."
mde_dragon_eggs_events.0011.desc,Preserve external RU over different builtin replace definition,"Кажется судьбой, что я оказался у жутких останков великого чудовища [nagga.GetName] в день небывало низкого отлива — такого, что случается раз в жизни.\n\nЖелезнорождённые называют подобные отливы дурным знаком, но из глубины меня зовёт нечто тёмное и неодолимое. Я подчиняюсь этому зову и почти инстинктивно иду к обнажившемуся берегу, ступая по следам древнего королевского веча. У воды лежит древнее оружие, покрытое ржавчиной, кораллами и ракушками. Я погружаюсь в глубину, крестя себя солью и позволяя морю наполнить лёгкие.\n\nЯ теряю сознание. Последнее, что помню, — нечто могущественное, быть может, существо... и что-то в моих руках. Очнувшись, я лежу на песчаном берегу, а рядом сияет кобальтово-синее драконье яйцо.","Кажется, сама судьба привела меня к жутким останкам великого чудовища [nagga.GetName] именно в день небывало низкого отлива — такого, что случается раз в жизни.\n\nЖелезнорождённые называют подобные отливы дурным знаком, но из глубины меня зовёт нечто тёмное и неодолимое. Я подчиняюсь этому зову и почти инстинктивно иду к обнажившемуся берегу, ступая по следам древнего королевского веча. У воды лежит древнее оружие, покрытое ржавчиной, кораллами и ракушками. Я погружаюсь в глубину, крестя себя солью и позволяя морю наполнить лёгкие.\n\nЯ теряю сознание. Последнее, что помню, — нечто могущественное, быть может, существо... и что-то в моих руках. Очнувшись, я лежу на песчаном берегу, а рядом сияет кобальтово-синее драконье яйцо."
mde_dragon_eggs_events.0012.desc,Preserve external RU over different builtin replace definition,"Долго я странствовал по знойным пустыням Дорна, и путь вдали от Дюнных дорог стал мучительным. Ближайшая крепость, Пекло, сулит лишь призрачную передышку, но выбора нет. По мере приближения серные испарения из соседних источников и гейзеров застилают солнце, лишь усиливая жар. Я замечаю, что главная башня так и не была восстановлена со времён Завоевания.\n\nРазрушение стало следствием гибели всадницы дракона [rhaenys.GetName] и её дракона [meraxes.GetName]. Во время кампании по усмирению дорнийцев [rhaenys.GetName] сжигала замки драконьим пламенем. Уллеры из Пекла сделали невозможное: выстрелом скорпиона пробили глаз [meraxes.GetName], отправив всадницу и дракона в смертельное падение. Останки дракона [meraxes.GetName] торчат из остекленевшего песка.","Долго я странствовал по знойным пустыням Дорна, и путь вдали от Дюнных дорог стал мучительным. Ближайшая крепость, Пекло, сулит лишь призрачную передышку, но выбора нет. По мере приближения серные испарения из соседних источников и гейзеров застилают солнце, лишь усиливая жар. Я замечаю, что главная башня так и не была восстановлена со времён Завоевания.\n\nРазрушение стало следствием гибели всадницы дракона [rhaenys.GetName] и её дракона [meraxes.GetName]. Во время кампании по усмирению дорнийцев [rhaenys.GetName] сжигала замки драконьим пламенем. Уллеры из Пекла сделали невозможное: выстрелом скорпиона пробили глаз [meraxes.GetName], отправив всадницу и дракона в смертельное падение. Кости [meraxes.GetNamePossessive] до сих пор торчат из остекленевшего песка."
mde_dragon_eggs_events.0013.desc,MDE-06: gender-neutral wording,"Осматривая скелет дракона [meraxes.GetName], я поражаюсь силе драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Поддавшись одержимости, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!","При ближайшем осмотре скелета [meraxes.GetNamePossessive] я поражаюсь силе драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Поддавшись одержимости, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!"
rule_spawn_pythax_egg,Preserve external RU over different builtin replace definition,@mde_icon!@darkpurple_dragon_egg_icon!Яйцо Питакса,@mde_icon!@darkpurple_dragon_egg_icon!Яйцо Пифакса
setting_absolute_spawn,External RU copied into builtin shadow,Гарантировано,Гарантировано для игроков
setting_absolute_spawn_desc,Preserve external RU over different builtin replace definition,"Первый посетитель соответствующих локаций или первый персонаж, принявший нужные решения, гарантированно получит драконьи яйца. Отключите яйца Драконьего Камня, иначе их станет слишком много.","Первый игрок, посетивший соответствующую локацию или принявший нужное решение, гарантированно получит драконье яйцо."
setting_canon_dragon_egg_hatch_likelihood_common_desc,Preserve external RU over different builtin replace definition,Канонические драконьи яйца имеют высокий шанс успешно дать дракона. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца имеют высокий шанс вылупиться в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах."
setting_canon_dragon_egg_hatch_likelihood_default_desc,Preserve external RU over different builtin replace definition,Канонические драконьи яйца используют стандартные шансы. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца используют те же шансы, что и остальные яйца, в колыбели, в драконьей яме и как дополнительные яйца на церемонии выведения. Действует только при включённых канонических драконах."
setting_canon_dragon_egg_hatch_likelihood_guaranteed_desc,Preserve external RU over different builtin replace definition,Канонические драконьи яйца всегда дают драконов.,"Канонические драконьи яйца не станут бесплодными в колыбели или драконьей яме, если соответствующая настройка не установлена на «Никогда», и всегда вылупятся как дополнительные яйца на церемонии выведения. Действует только при включённых канонических драконах."
setting_canon_dragon_egg_hatch_likelihood_less_likely_desc,Preserve external RU over different builtin replace definition,Канонические драконьи яйца дают драконов реже обычного. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца реже вылупляются в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах."
setting_canon_dragon_egg_hatch_likelihood_more_likely_desc,Preserve external RU over different builtin replace definition,Канонические драконьи яйца дают драконов чаще обычного. Складывается с обычным правилом вероятности.,"Канонические драконьи яйца чаще вылупляются в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения. Эффект складывается с соответствующими настройками. Действует только при включённых канонических драконах."
setting_canon_dragon_egg_hatch_likelihood_never_desc,Reviewed builtin Russian fallback,"Канонические драконьи яйца никогда не вылупятся в колыбели, в драконьем логове или как дополнительные яйца на церемонии, если только эта настройка не стоит на «Всегда». Действует только при включённых канонических драконах.","Канонические драконьи яйца никогда не вылупятся в колыбели, в драконьей яме или как дополнительные яйца на церемонии выведения, если соответствующая настройка не установлена на «Всегда». Действует только при включённых канонических драконах."
