Key,SameEffectiveText,Before,After
DRAGON_PITTED_SHORT_WITH_GUI,True,[Character.Custom('DPGetDragonTypeGuiTooltip')],[Character.Custom('DPGetDragonTypeGuiTooltip')]
MDE_VERSION,True,56,56
aemond_1_desc,True,Крылатый Странник,Крылатый Странник
aemond_2_desc,True,Хегагон,Хегагон
aemond_3_desc,True,Квелос,Квелос
aenys_1_desc,True,Золотой Огонь,Золотой Огонь
aenys_2_desc,True,Делтарион,Делтарион
aerea_1_desc,True,Лейнгар,Лейнгар
aerea_2_desc,True,Лунный Огонь,Лунный Огонь
aerea_3_desc,True,Адереон,Адереон
anogaros_desc,True,Аногарос,Аногарос
archonei_desc,True,Архоней,Архоней
arrax_desc,True,Арракс,Арракс
balerion_desc,True,Балерион,Балерион
cannibal_desc,True,Каннибал,Каннибал
caraxes_desc,True,Караксес,Караксес
daenerys_1_desc,True,Харакс,Харакс
dragon_ancestor_1_desc,True,Вейдар,Вейдар
dragon_ancestor_2_desc,True,Везойес,Везойес
dragon_ancestor_3_desc,True,Фалкейль,Фалкейль
dragon_ancestor_4_desc,True,Пельдион,Пельдион
dragon_ancestor_5_desc,True,Волон,Волон
dragon_ancestor_6_desc,True,Теларион,Теларион
dragon_coop_01_domicile_building,True,Загон для драконов,Загон для драконов
dragon_egg_embryo_desc,True,[Artifact.Custom('mde_dragon_embryo_name')],[Artifact.Custom('mde_dragon_embryo_name')]
dragonpit_type,True,#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!,#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!
dragonpit_type_landless,True,#italic $dragon_coop_01_domicile_building$ #!,#italic $dragon_coop_01_domicile_building$ #!
dreamfyre_desc,True,Пламенная Мечта,Пламенная Мечта
drogon_desc,True,Дрогон,Дрогон
essovius_desc,True,Эссовиус,Эссовиус
ghiscar_desc,True,Гискар,Гискар
grey_ghost_desc,True,Серый Призрак,Серый Призрак
maegor_10_desc,True,Высокий Огонь,Высокий Огонь
maegor_11_desc,True,Зувдар,Зувдар
maegor_2_desc,True,Лоркан,Лоркан
maegor_3_desc,True,Орион,Орион
maegor_4_desc,True,Чёрное Пламя,Чёрное Пламя
maegor_5_desc,True,Риакс,Риакс
maegor_6_desc,True,Моргон,Моргон
maegor_7_desc,True,Ликакс,Ликакс
maegor_8_desc,True,Малракс,Малракс
maegor_9_desc,True,Спиракс,Спиракс
mde_dragon_contains_embryo_builder,True,[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')],[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')]
mde_dragon_no_embryo_line,True,,
mde_egg_owner,True,"[AGOTGetName(Artifact.GetOwner)|V][AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')]","[AGOTGetName(Artifact.GetOwner)|V][AddLocalizationIf(GetScriptedGui('mde_is_dragonkeeper').IsShown( GuiScope.SetRoot( Artifact.GetOwner.MakeScope ).End ), 'mde_dragonkeeper_liege')]"
mde_lineage_and_embryo,True,[Artifact.Custom('mde_dragon_parent_localization')] [Artifact.Custom('mde_dragon_embryo_line')],[Artifact.Custom('mde_dragon_parent_localization')] [Artifact.Custom('mde_dragon_embryo_line')]
meleys_desc,True,Мелеис,Мелеис
meraxes_desc,True,Мераксес,Мераксес
moondancer_desc,True,Лунная Плясунья,Лунная Плясунья
morghul_desc,True,Моргул,Моргул
morning_desc,True,Утро,Утро
neltharion_desc,True,Нельтарион,Нельтарион
nessarion_desc,True,Нессарион,Нессарион
nightfyre_desc,True,Ночной Огонь,Ночной Огонь
pythax_desc,True,Пифакс,Пифакс
quicksilver_desc,True,Ртуть,Ртуть
rhaegal_desc,True,Рейгаль,Рейгаль
rovax_desc,True,Ровакс,Ровакс
seasmoke_desc,True,Морской Дым,Морской Дым
serporoth_desc,True,Серпорос,Серпорос
sheepstealer_desc,True,Овцекрад,Овцекрад
shrykos_desc,True,Шрикос,Шрикос
silverwing_desc,True,Среброкрылая,Среброкрылая
stormcloud_desc,True,Грозовое Облако,Грозовое Облако
sunfyre_desc,True,Солнечный Огонь,Солнечный Огонь
syrax_desc,True,Сиракс,Сиракс
terrax_desc,True,Терракс,Терракс
tessarion_desc,True,Тессарион,Тессарион
the_last_desc,True,Залагон,Залагон
tyraxes_desc,True,Тираксес,Тираксес
urrax_desc,True,Урракс,Урракс
valryon_desc,True,Валрион,Валрион
vassarion_desc,True,Вассарион,Вассарион
vermax_desc,True,Вермакс,Вермакс
vermithor_desc,True,Вермитор,Вермитор
vermithrax_desc,True,Вермитракс,Вермитракс
vhagar_desc,True,Вхагар,Вхагар
viserion_desc,True,Визерион,Визерион
wyrmling_desc,True,Ловец Звёзд,Ловец Звёзд
