Key,Status,Before,After,English,InCurrentEnglish,DefinedByPatch,PatchText,PreviousFile,CurrentFile
DRAGONPIT_RULER,changed,"Этот дракон находится в [Concept('dragonpit', 'драконьей яме')|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.","Этот дракон находится в [dragonpit|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.",This dragon is in a [dragonpit|E] limited to those who have been given explicit permission from it's holder.,True,True,"Этот дракон находится в [Concept('dragonpit', 'драконьей яме')|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.",localization/russian/more_dragon_eggs_realm_laws_l_russian.yml,localization/russian/more_dragon_eggs_realm_laws_l_russian.yml
SHOW_DRAGONPITS,changed,"#T Показать драконьи ямы\n#!Показывает действующие [Concept('dragonpits', 'драконьи ямы')|E] и связанные с ними меню.",#T Показать драконьи ямы\n#!Показывает действующие [dragonpits|E] и связанные с ними меню.,#T Show Dragonpits\n#!Shows active [dragonpits|E] and their corresponding menus.,True,True,"#T Показать драконьи ямы\n#!Показывает действующие [Concept('dragonpits', 'драконьи ямы')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_DRAGONS,changed,"#T Показать драконов\n#!Показывает живых [Concept('dragons_plural', 'драконов')|E] и связанные с ними меню.",#T Показать драконов\n#!Показывает живых [dragons_plural|E] и связанные с ними меню.,#T Show Dragons\n#!Shows living [dragons_plural|E] and their corresponding menus.,True,True,"#T Показать драконов\n#!Показывает живых [Concept('dragons_plural', 'драконов')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_EGGS,changed,"#T Показать драконьи яйца\n#!Показывает существующие [Concept('dragon', 'драконьи яйца')|E] и связанные с ними меню.",#T Показать драконьи яйца\n#!Показывает существующие яйца [dragon|E] и связанные с ними меню.,#T Show Dragons' Eggs\n#!Shows exising [dragon|E] eggs and their corresponding menus.,True,True,"#T Показать драконьи яйца\n#!Показывает существующие [Concept('dragon', 'драконьи яйца')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
agot_filler_crownlands.0004.tt,changed,"Вы получили [Concept('artifact', 'артефакт')|E]: драконье яйцо",Вы получили драконье яйцо ([artifact|E]),You gained a Dragon Egg [artifact|E],True,True,"Вы получили [Concept('artifact', 'артефакт')|E]: драконье яйцо",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
dragonpit_ruler_law_effects,changed,"[Concept('dragons_plural', 'Драконы')|E] в вашей [Concept('dragonpit', 'драконьей яме')|E] доступны только тем, кому вы дали разрешение.","[dragons_plural|E] в вашей [dragonpit|e] доступны только тем, кому вы дали явное разрешение.",[dragons_plural|E] in your [dragonpit|e] can only be accessed by those you've given express permission to.,True,True,"[Concept('dragons_plural', 'Драконы')|E] в вашей [Concept('dragonpit', 'драконьей яме')|E] доступны только тем, кому вы дали разрешение.",localization/russian/more_dragon_eggs_realm_laws_l_russian.yml,localization/russian/more_dragon_eggs_realm_laws_l_russian.yml
mde_dragon_eggs_events.0001.desc,changed,"Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел в глубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой.","Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел вглубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой.","The fearsome and violent dragon, [cannibal.GetName], was notorious for the abominable acts that earned him his name. Neither the Targaryens or the Order of the Dragonkeepers were able to contain the monstrous beast, much less stop him from feasting on his kin.\n\nIn recorded history, [cannibal.GetNamePossessive] appearance is as mysterious as his disappearance , as very little is known about either. Many say that his birth predated the birth of the Conquerors' dragons.\n\nIt is known, however, that [cannibal.GetName] disappeared some time after The Dance of Dragons. Though some have speculated that he might have flown off into the heart of Skagos, drawn by those of similar nature. You think that this may have been more than speculation, evidenced by the dragonglass scarring the forest floor around you.",True,True,"Грозный и жестокий дракон [cannibal.GetName] был печально известен мерзкими деяниями, за которые и получил своё имя. Ни Таргариены, ни драконоблюстители не смогли усмирить чудовище — тем более помешать ему пожирать собственных сородичей.\n\nВ летописях появление [cannibal.GetNamePossessive] столь же загадочно, как и исчезновение. Многие считают, что он родился ещё до драконов Завоевателя.\n\nДостоверно известно лишь одно: [cannibal.GetName] исчез вскоре после Танца Драконов. Ходили слухи, будто он улетел в глубь Скагоса, привлечённый родственными душами. Судя по обсидиановым шрамам на лесной почве вокруг, эти слухи могли быть правдой.",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_dragon_eggs_events.0011.desc,changed,"Кажется судьбой, что я оказался у жутких останков великого чудовища [nagga.GetName] в день небывало низкого отлива — такого, что случается раз в жизни.\n\nЖелезнорождённые называют подобные отливы дурным знаком, но из глубины меня зовёт нечто тёмное и неодолимое. Я подчиняюсь этому зову и почти инстинктивно иду к обнажившемуся берегу, ступая по следам древнего королевского веча. У воды лежит древнее оружие, покрытое ржавчиной, кораллами и ракушками. Я погружаюсь в глубину, крестя себя солью и позволяя морю наполнить лёгкие.\n\nЯ теряю сознание. Последнее, что помню, — нечто могущественное, быть может, существо... и что-то в моих руках. Очнувшись, я лежу на песчаном берегу, а рядом сияет кобальтово-синее драконье яйцо.","Кажется, сама судьба привела меня к жутким останкам великого чудовища [nagga.GetName] именно в день небывало низкого отлива — такого, что случается раз в жизни.\n\nЖелезнорождённые называют подобные отливы дурным знаком, но из глубины меня зовёт нечто тёмное и неодолимое. Я подчиняюсь этому зову и почти инстинктивно иду к обнажившемуся берегу, ступая по следам древнего королевского веча. У воды лежит древнее оружие, покрытое ржавчиной, кораллами и ракушками. Я погружаюсь в глубину, крестя себя солью и позволяя морю наполнить лёгкие.\n\nЯ теряю сознание. Последнее, что помню, — нечто могущественное, быть может, существо... и что-то в моих руках. Очнувшись, я лежу на песчаном берегу, а рядом сияет кобальтово-синее драконье яйцо.","It seems almost destined that I visited the harrowing remains of the great beast [nagga.GetName] on a day with exceedingly rare sea levels brought on by a once in a lifetime low tide.\n\nWhile the Ironborn warn of such low tides as an omen of danger, something calls out from deep within me, dark and compelling. I will heed the call of destiny if it commands me, and I almost intuitively walk to the exposed shoreline, following in the steps of the ancient Kingsmoot. As I approach the water, there are a number of ancient weapons, rusted and covered in corals and barnacles. I delve into the deep, baptizing myself in salt, letting the sea fill my lungs.\n\nI black out, with my last memory being of something powerful, mayhaps a being of some kind, and something in my hands. When I awake, I find myself on the sandy shores, with a gleaming, cobalt blue dragon egg next to me!",True,True,"Кажется судьбой, что я оказался у жутких останков великого чудовища [nagga.GetName] в день небывало низкого отлива — такого, что случается раз в жизни.\n\nЖелезнорождённые называют подобные отливы дурным знаком, но из глубины меня зовёт нечто тёмное и неодолимое. Я подчиняюсь этому зову и почти инстинктивно иду к обнажившемуся берегу, ступая по следам древнего королевского веча. У воды лежит древнее оружие, покрытое ржавчиной, кораллами и ракушками. Я погружаюсь в глубину, крестя себя солью и позволяя морю наполнить лёгкие.\n\nЯ теряю сознание. Последнее, что помню, — нечто могущественное, быть может, существо... и что-то в моих руках. Очнувшись, я лежу на песчаном берегу, а рядом сияет кобальтово-синее драконье яйцо.",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_dragon_eggs_events.0012.desc,changed,"Долго я странствовал по знойным пустыням Дорна, и путь вдали от Дюнных дорог стал мучительным. Ближайшая крепость, Пекло, сулит лишь призрачную передышку, но выбора нет. По мере приближения серные испарения из соседних источников и гейзеров застилают солнце, лишь усиливая жар. Я замечаю, что главная башня так и не была восстановлена со времён Завоевания.\n\nРазрушение стало следствием гибели всадницы дракона [rhaenys.GetName] и её дракона [meraxes.GetName]. Во время кампании по усмирению дорнийцев [rhaenys.GetName] сжигала замки драконьим пламенем. Уллеры из Пекла сделали невозможное: выстрелом скорпиона пробили глаз [meraxes.GetName], отправив всадницу и дракона в смертельное падение. Останки дракона [meraxes.GetName] торчат из остекленевшего песка.","Долго я странствовал по знойным пустыням Дорна, и путь вдали от Дюнных дорог стал мучительным. Ближайшая крепость, Пекло, сулит лишь призрачную передышку, но выбора нет. По мере приближения серные испарения из соседних источников и гейзеров застилают солнце, лишь усиливая жар. Я замечаю, что главная башня так и не была восстановлена со времён Завоевания.\n\nРазрушение стало следствием гибели всадницы дракона [rhaenys.GetName] и её дракона [meraxes.GetName]. Во время кампании по усмирению дорнийцев [rhaenys.GetName] сжигала замки драконьим пламенем. Уллеры из Пекла сделали невозможное: выстрелом скорпиона пробили глаз [meraxes.GetName], отправив всадницу и дракона в смертельное падение. Кости [meraxes.GetNamePossessive] до сих пор торчат из остекленевшего песка.","Long have I traveled in the grueling deserts of Dorne, and traveling this far away from The Dune Roads has made the journey agonizing and exhausting.The nearest castle, the Hellholt offers but a fool’s reprieve, and yet there is no other option. As the castle draws nearer, plumes of sulfurous smog rise off the nearby Brimstone and geysers, obscuring the sun. But it offers no relief, only making the air hotter. When I approach the castle, I notice the main tower has yet to be repaired since the Conquest.\n\nThe destruction was the result of the infamous death of the dragonrider [rhaenys.GetName], and her she-dragon, [meraxes.GetName]. At the time of her death, [rhaenys.GetName] had been on a campaign to suppress the resistant Dornish using dragonfire to burn their castles. The Ullers of the Hellholt did what no one else had managed, and fire a scorpion bolt directly through the eye of [meraxes.GetName] sending both rider and dragon plummeting to their doom. [meraxes.GetNamePossessive] bones remain, jutting out from the surrounding sand turned glass.",True,True,"Долго я странствовал по знойным пустыням Дорна, и путь вдали от Дюнных дорог стал мучительным. Ближайшая крепость, Пекло, сулит лишь призрачную передышку, но выбора нет. По мере приближения серные испарения из соседних источников и гейзеров застилают солнце, лишь усиливая жар. Я замечаю, что главная башня так и не была восстановлена со времён Завоевания.\n\nРазрушение стало следствием гибели всадницы дракона [rhaenys.GetName] и её дракона [meraxes.GetName]. Во время кампании по усмирению дорнийцев [rhaenys.GetName] сжигала замки драконьим пламенем. Уллеры из Пекла сделали невозможное: выстрелом скорпиона пробили глаз [meraxes.GetName], отправив всадницу и дракона в смертельное падение. Останки дракона [meraxes.GetName] торчат из остекленевшего песка.",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
mde_dragon_eggs_events.0013.desc,changed,"Осматривая скелет дракона [meraxes.GetName], я потрясён силой драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Охваченный одержимостью, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!","При ближайшем осмотре скелета [meraxes.GetNamePossessive] я потрясён силой драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Охваченный одержимостью, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!","Upon closer inspection of [meraxes.GetNamePossessive] skeleton, I am appalled at the power of a dragon’s fire. The surrounding ground is all glass melted from the sand that was once here, most of it thick, dark, and opaque.\n\nBut I find the more I uncover from the fresher layers of dirt, the clearer the glass becomes. Vexed, I work like mad to find the clearest patch of glass I can.\n\nAfter hours of inspecting, I find glass that reveals a golden and silver shimmer. I cover it back up and return under the cover of darkness, hacking away with a pickaxe until I uncover my treasure: a dragon egg!",True,True,"Осматривая скелет дракона [meraxes.GetName], я поражаюсь силе драконьего пламени. Окружающая земля — сплошное стекло из расплавленного песка, по большей части тёмное и непрозрачное.\n\nНо под свежими слоями грязи стекло становится чище. Поддавшись одержимости, я ищу самый прозрачный участок.\n\nПосле часов поисков я нахожу стекло, сквозь которое пробивается золотисто-серебристое мерцание. Прикрыв находку, я возвращаюсь под покровом темноты с киркой и раскапываю сокровище: драконье яйцо!",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
