Key,Definitions,Identical,Files,Texts
dragon_egg_aemond_1_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Крылатый Странник."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Крылатый Странник.""]"
dragon_egg_aemond_1_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Крылатый Странник."", ""Из этого яйца вылупится Крылатый Странник.""]"
dragon_egg_aemond_2_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Хегагон."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Хегагон.""]"
dragon_egg_aemond_2_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Хегагон."", ""Из этого яйца вылупится Хегагон.""]"
dragon_egg_aemond_3_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Квелос."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Квелос.""]"
dragon_egg_aemond_3_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Квелос."", ""Из этого яйца вылупится Квелос.""]"
dragon_egg_aenys_1_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Золотой Огонь."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Золотой Огонь.""]"
dragon_egg_aenys_1_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Золотой Огонь."", ""Из этого яйца вылупится Золотой Огонь.""]"
dragon_egg_aenys_2_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Делтарион."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Делтарион.""]"
dragon_egg_aenys_2_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Делтарион."", ""Из этого яйца вылупится Делтарион.""]"
dragon_egg_aerea_1_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Лейнгар."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Лейнгар.""]"
dragon_egg_aerea_1_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Лейнгар."", ""Из этого яйца вылупится Лейнгар.""]"
dragon_egg_aerea_2_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Лунный Огонь."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Лунный Огонь.""]"
dragon_egg_aerea_2_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Лунный Огонь."", ""Из этого яйца вылупится Лунный Огонь.""]"
dragon_egg_aerea_3_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Адереон."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Адереон.""]"
dragon_egg_aerea_3_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Адереон."", ""Из этого яйца вылупится Адереон.""]"
dragon_egg_anogaros_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Аногарос."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Аногарос.""]"
dragon_egg_anogaros_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Аногарос."", ""Из этого яйца вылупится Аногарос.""]"
dragon_egg_archonei_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Архоней."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Архоней.""]"
dragon_egg_archonei_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Архоней."", ""Из этого яйца вылупится Архоней.""]"
dragon_egg_arrax_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Арракс."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Арракс.""]"
dragon_egg_arrax_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Арракс."", ""Из этого яйца вылупится Арракс.""]"
dragon_egg_balerion_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Балерион."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Балерион.""]"
dragon_egg_balerion_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Балерион."", ""Из этого яйца вылупится Балерион.""]"
dragon_egg_cannibal_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Каннибал."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Каннибал.""]"
dragon_egg_cannibal_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Каннибал."", ""Из этого яйца вылупится Каннибал.""]"
dragon_egg_caraxes_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Караксес."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Караксес.""]"
dragon_egg_caraxes_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Караксес."", ""Из этого яйца вылупится Караксес.""]"
dragon_egg_daenerys_1_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Харакс."", ""[newly_created_artifact.GetDesc]\\n\\nИз яйца вылупится Харакс.""]"
dragon_egg_daenerys_1_ui_desc,2,True,localization/russian/dp_artifacts_l_russian.yml; localization/russian/mde_artifacts_l_russian.yml,"[""Из этого яйца вылупится Харакс."", ""Из этого яйца вылупится Харакс.""]"
