Catalog,File,Status,BeforeSHA256,AfterSHA256
Translation,localization/russian/dp_domicile_buildings_l_russian.yml,changed,B4A86146113632C9D2AD77895B73CDBE2D80B846CBC122271102D20AA2A68908,92EF0C541B4D76BF76127EA3A941705D22C2028732063ED9F0A27D7E8E8555A3
Translation,localization/russian/mde_demand_egg_events_l_russian.yml,changed,44DFCF72DFBDDB5958107C452E253559B599CB66D7BAB225A94A96421B2ECC0B,89856FFA7C8A9C9262331B88B57B106886C0963C34409BB7351BE1FEE68E93E7
Translation,localization/russian/more_dragon_eggs_decisions_l_russian.yml,changed,AB7577038C5E4AA7E51380EA177D04DE5B0BB7F51D0E5EFE59E468486D79F02B,BA46001DFA0745CBCE9584752B82C7B3F8ED37B3974D61EB3FE692647835C50B
Translation,localization/russian/more_dragon_eggs_events_l_russian.yml,changed,8F8461F7A8222E917A1B54BF65D814E3E66615779053D46BA1B39C7FF01D5AAE,2B0528F3AB6230280A416067BF9F9766E5D59213D165410710D17B5B0415B5C5
Translation,localization/russian/more_dragon_eggs_gamerules_l_russian.yml,changed,D3E1F1035BE8B953995891118ADBFD0D090F94ACCDFCE14649F8C17292155D86,2555671CAB37C06DEF6D9E9DD1F6CDF246C1F1F836B14AE1CC1A4F82896D9325
Translation,localization/russian/more_dragon_eggs_realm_laws_l_russian.yml,changed,00CD8C6227F38824AA7B2636FC67544993D638EB68171B1B43F8931802475E19,D8C6CB98A2CD873DDFA3984C943D3368905A9F4217D7EC97F957DD87B02D3F0F
Translation,localization/russian/more_dragon_eggs_titles_l_russian.yml,changed,50D513059095992E50870F11CB0F822E3145643BC4CD1AD6EE3EDF1039CEF4DC,954D785F49497D1A77FF0D52F8A5564277439AB7C3EFBE7455521868B197178A
Translation,localization/russian/more_dragon_eggs_travel_l_russian.yml,changed,A96E1D9D5026EA78F7BB79AECEB178428DAFC9210333B82F8C9E1180E1C6FB30,F3B5896BDC66D9A385D5A696FDD2B05768AB20B4565165701D44548E2C3E14B3
Translation,localization/russian/more_dragon_eggs_ui_l_russian.yml,changed,2BFF8D5FA9C440B5DC7EDCE3A6ED6564157604BF44AED56C90475947D3E78831,1193676E5FD03C16A7C23C82CBD8E43FD8304353E7F303DC3EEFD9F04541EBD9
Translation,descriptor.mod,changed,E32ADF3242A0764FFA62D8478DFD92BFCC3310F2D32610D85A36DD0EB0F0CBCF,D1D55E28139F2B0F9E17E70A89464ADFED4284029A03734E9B71F030D130D132
Translation,localization/russian/mde_artifacts_l_russian.yml,added,,9CE76F529A4D0F1F31B5A9D46337A69D99F3C95890B195883872D3B907D4148F
Translation,localization/russian/mde_domicile_buildings_l_russian.yml,added,,A5121D43EDB4EC62265DF37D2410B79DEAD402344A521904E47527F119832E82
