issue,messages
bookmarked-april-scenario,1
core-house-scope,1
core-obsolete-cloak-gate,2
core-optional-armor,56
core-optional-markers,12
core-optional-tgc,16
core-sword-recognition,6
cow-building-ids,10
cow-holding-trigger,1
cow-integration-marker,2
cow-map-mode,6
cow-missing-event,6
cow-quarries,2
cow-religion-opinion,2
crowns-baldric,2
crowns-culture-opinion,3
crowns-event-duplicate,1
crowns-myrcella,2
crowns-roland-uniqueness,2
crowns-shattered-rule,2
di-confucian-xp,1
di-faith-families,16
di-gui-artifact-origin,4
di-gui-display,6
di-gui-holdings,12
di-lhazar-language,2
di-persian-marriage,8
di-personalities,10
di-polyglot,16
di-succession-innovation,4
di-varangian,1
localization-decision,1
localization-religion-family,1
lotd-baelor-marker,2
lotd-empty-result,2
lotd-maekar-selection,2
lotd-ruby-gold,1
lotd-scheme-bonus,1
lotd-sword-templates,20
lotd-unused-sword-markers,6
shared-crown-creator,8
vs-egg-colors,4
vs-scheme-formats,1
