Category,Line,Owner,Remedy,Status,Message
animations,1801,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'male')"
animations,1802,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'male')"
animations,1803,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'male')"
animations,1804,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'male')"
animations,1805,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_dwarf' (part 'torso', type 'male')"
animations,1806,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant_fat_dwarf' (part 'torso', type 'male')"
animations,1807,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat' (part 'torso', type 'female')"
animations,1808,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFat1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_dwarf' (part 'torso', type 'female')"
animations,1809,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_fat_dwarf' (part 'torso', type 'female')"
animations,1810,Valyrian Steel,ANIM-01,proposed,"Unknown animation state 'throneRoom_twoHandedPassiveFatDwarf1_entry' scripted for portrait animation 'valyrian_invasion_vs_spear_1_1' in modifier 'throneRoom_two_handed_passive_1_pregnant' (part 'torso', type 'female')"
