"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"artifact.title.default","localization/english/valyrian_decisions_l_english.yml","68","localization/russian/valyrian_decisions_l_russian.yml","69","[newly_created_artifact.GetNameNoTooltip]","[newly_created_artifact.GetNameNoTooltip]","[newly_created_artifact.GetNameNoTooltip]"
"artifact_cust_name","localization/english/valyrian_decisions_l_english.yml","71","localization/russian/valyrian_decisions_l_russian.yml","72","[ROOT.Char.GetLocalizedText( 'custom_artifact_name' )]","[ROOT.Char.GetLocalizedText( 'custom_artifact_name' )]","[ROOT.Char.GetLocalizedText( 'custom_artifact_name' )]"
"artifact_dragon_bond_enchanted","localization/english/modifiers/valyrian_modifiers_l_english.yml","7","localization/russian/valyrian_modifiers_l_russian.yml","8","Enchanted Artifact","Пробуждённый артефакт","Зачарованный артефакт"
"artifact_dragon_horn_inactive","localization/english/valyrian_decisions_l_english.yml","190","localization/russian/valyrian_decisions_l_russian.yml","191","Dragon Horn","Драконий рог","Драконий рог"
"artifact_dragon_horn_name","localization/english/artifacts/targ_artifacts_l_english.yml","30","localization/russian/targ_artifacts_l_russian.yml","31","Dragon Horn","Драконий рог","Драконий рог"
"artifact_dragon_whip","localization/english/artifacts/targ_artifacts_l_english.yml","42","localization/russian/targ_artifacts_l_russian.yml","43","Dragon Whip","Драконья плеть","Драконий хлыст"
"artifact_dragon_whip_desc","localization/english/artifacts/targ_artifacts_l_english.yml","43","localization/russian/targ_artifacts_l_russian.yml","44","A Dragon Whip of Old Valyria is a fearsome artifact, forged in the fires of the Fourteen Flames. Made from a rare metals and and dragon leather, this whip was a tool of domination, used by the dragonlords to command and tame their majestic beasts. The whip's lash, lined with tiny, razor-sharp scales, could cut through the thickest of hides, leaving a trail of shimmering silver sparks in its wake. This relic is a reminder of the might and mastery the Valyrians held over their draconic allies.\n\nIn the right hands, such a tool could prove useful in taming a dragon...","Драконья плеть Старой Валирии — грозный артефакт, созданный в пламени Четырнадцати Огней. Сплетённая из редких металлов и драконьей кожи, она служила орудием подчинения: драконьи владыки повелевали с её помощью своими величественными зверями и держали их в узде. Ремень, усеянный крошечными острыми чешуйками, мог рассечь самую толстую шкуру, оставляя за собой след серебристых искр. Этот артефакт напоминает о могуществе валирийцев и их власти над драконами.\n\nВ умелых руках такой инструмент может помочь укротить дракона...","Драконий хлыст из Старой Валирии - страшный артефакт, выкованный в огне Четырнадцати Пламен. Изготовленный из редких металлов и драконьей кожи, этот кнут был инструментом господства, который использовали владыки драконов, чтобы повелевать и усмирять своих величественных зверей. Плеть, покрытая крошечными, острыми как бритва чешуйками, могла прорезать самую толстую шкуру, оставляя за собой след из мерцающих серебряных искр. Эта реликвия - напоминание о могуществе и мастерстве валирийцев над своими драконьими союзниками.\n\nВ умелых руках такой инструмент может оказаться полезным для укрощения дракона..."
"artifact_glass_candle_desc","localization/english/valyrian_decisions_l_english.yml","85","localization/russian/valyrian_decisions_l_russian.yml","86","This glass candle burned a bright flame long ago within Old Valyria. Since then, candles such as these no longer burn a flame. Their light died with Old Valyria.","Эта стеклянная свеча некогда пылала ярким пламенем в Старой Валирии. С тех пор такие свечи больше не горят: их свет угас вместе со Старой Валирией.","Эта стеклянная свеча горела ярким пламенем давным-давно в Старой Валирии. С тех пор такие свечи больше не горят. Их свет умер вместе со Старой Валирией."
"artifact_glass_candle_name","localization/english/valyrian_decisions_l_english.yml","84","localization/russian/valyrian_decisions_l_russian.yml","85","Glass Candle","Стеклянная свеча","Стеклянная свеча"
"artifact_health_penalty_4_modifier","localization/english/modifiers/valyrian_modifiers_l_english.yml","8","localization/russian/valyrian_modifiers_l_russian.yml","9","Enchantment side effect","Побочный эффект пробуждения","Побочный эффект зачарования"
