"Catalog","File","Entries","BOM","SHA256"
"EN","localization/english/valyrian_death_reasons_l_english.yml","1","True","4788E1593F1912A2FE7F13CCC982978C2FD036F13423CB745AE9FE3F1BCAEDF1"
"EN","localization/english/valyrian_decisions_l_english.yml","129","True","433BB736E66B5B224D07A71C6C9DDB41A41855445D0DF28C3B2803CB339DED23"
"EN","localization/english/valyrian_fsb_poses_l_english.yml","82","True","50D57FC3AE947A942483887830BF0F035842214443F14096D3F94B2122449A1D"
"EN","localization/english/valyrian_memories_l_english.yml","33","True","D4C10B46F59FF97BAD754638438B430BC9D7DEA1CA228830210FA659782D9629"
"EN","localization/english/artifacts/targ_artifacts_l_english.yml","34","True","811EAF3734FBDA628A6BACF612B1856DA5BDD391623F9442FB282FDCBB6BA377"
"EN","localization/english/modifiers/valyrian_modifiers_l_english.yml","7","True","71E136C9D5458475F546B82599918AE7F0BFF675299E80124411DF79DE71ACCC"
"Translation","localization/russian/targ_artifacts_l_russian.yml","34","True","CF6AADB783F8470DDA859DCA4E8C23F30208AED0E11D475E4F5FD52D315C0862"
"Translation","localization/russian/valyrian_death_reasons_l_russian.yml","1","True","2BFF7C94AD50BF442BFF2A331687EB56BF65F6DA5CFBBC445BAF3DAC4ECE5E3F"
"Translation","localization/russian/valyrian_decisions_l_russian.yml","129","True","3B6FA9E30F1B82048B8BFD5FA222923345D987BCF8978FBAFDC2B17EF8774BC5"
"Translation","localization/russian/valyrian_fsb_poses_l_russian.yml","82","True","01F09F4AF92BBCA1A3920A88F9C31425288528ADAC73F417799F51FCE1D6E562"
"Translation","localization/russian/valyrian_memories_l_russian.yml","33","True","58D01C32C6D17F0D9783B07C4C253420F8E439932421171A13BE026C6CEE8838"
"Translation","localization/russian/valyrian_modifiers_l_russian.yml","7","True","76265648B5CD6FFCC5B09515A6CAA3BCDAC392181A9021FD17E446B4BB95BB28"
"BuiltinRussian","localization/russian/valyrian_death_reasons_l_russian.yml","1","True","07A55EB21D3D16815A25F4E772C0537525DBADBF42E4E60C5C688C70E7D4AD22"
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","129","True","50C0B5B9D708668657DA20B7E5668EDEA59030014BB0D57BE6D06CF57F4979F1"
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","82","True","FEAEA104D75F30F7EE95B69E3891144BE7629799B48FC9581F6795559BFF867D"
"BuiltinRussian","localization/russian/valyrian_memories_l_russian.yml","33","True","4BDCC8733F65B899BE456561FF965BF5F3027EF676668D105EF9DF02C07BAEFF"
"BuiltinRussian","localization/russian/artifacts/targ_artifacts_l_russian.yml","34","True","7DCD7DFCBAE25BE73D98C92E1EE1E67E39E3B02BA85BD7CA65AD0982820B914A"
"BuiltinRussian","localization/russian/modifiers/valyrian_modifiers_l_russian.yml","7","True","B2E1E26469C39223251475C3D6D613CC6CF05B1DD92B1D0326CBA112658D23E1"
